,SamplingDate,SO2_6AM_10AM_238,SO2_10AM_2PM_238,SO2_2PM_6PM_238,SO2_6PM_10PM_238,SO2_10PM_2AM_238,SO2_2AM_6AM_238,NO2_6AM_10AM_238,NO2_10AM_2PM_238,NO2_2PM_6PM_238,NO2_6PM_10PM_238,NO2_10PM_2AM_238,NO2_2AM_6AM_238,RSPM_6AM_2PM_238,RSPM_2PM_10PM_238,RSPM_10PM_6AM_238,SPM_6AM_2PM_238,SPM_2PM_10PM_238,SPM_10PM_6AM_238,RSPM_238,SO2_238,SPM_238,NO2_238,SO2_6AM_10AM_375,SO2_10AM_2PM_375,SO2_2PM_6PM_375,SO2_6PM_10PM_375,SO2_10PM_2AM_375,SO2_2AM_6AM_375,NO2_6AM_10AM_375,NO2_10AM_2PM_375,NO2_2PM_6PM_375,NO2_6PM_10PM_375,NO2_10PM_2AM_375,NO2_2AM_6AM_375,RSPM_6AM_2PM_375,RSPM_2PM_10PM_375,RSPM_10PM_6AM_375,SPM_6AM_2PM_375,SPM_2PM_10PM_375,SPM_10PM_6AM_375,RSPM_375,SO2_375,SPM_375,NO2_375
27,2009-08-19 00:00:00,,10.8,17.9,21.7,4.0,4.0,,24.6,24.6,25.7,21.4,16.1,50.0,30.0,34.0,81.0,55.0,48.0,38.0,11.68,61.3333,22.48,16.0,,14.1,17.9,,,42.9,,21.4,18.2,,,60.0,32.0,,120.0,74.0,,46.0,,97.0,
28,2009-08-10 00:00:00,,9.4,6.6,4.0,4.0,4.0,,46.1,31.1,38.6,30.0,27.9,31.0,36.0,34.0,77.0,125.0,48.0,33.6666,5.6,83.3333,34.74,4.0,5.7,6.7,4.0,,,28.9,26.8,33.2,21.4,,,24.0,28.0,,99.0,92.0,,26.0,5.1,95.5,27.575
29,2009-08-03 00:00:00,7.5,5.2,4.0,4.0,5.2,4.0,28.9,31.0,20.4,24.6,21.4,19.3,42.0,30.0,26.0,99.0,84.0,35.0,32.6666,4.9833,72.6666,24.2666,4.7,7.1,4.0,4.0,,,20.4,25.7,21.4,19.3,,,19.0,14.0,,64.0,36.0,,16.5,4.95,50.0,21.7
30,2009-07-27 00:00:00,,4.0,9.9,4.0,4.0,4.0,,32.0,45.0,25.7,25.7,28.0,93.0,42.0,21.0,250.0,120.0,46.0,52.0,5.18,138.6666,31.28,7.0,,4.0,4.0,,,26.8,,23.6,23.6,,,22.0,25.0,,128.0,59.0,,23.5,,93.5,
31,2009-07-20 00:00:00,,6.6,5.7,4.0,8.0,4.0,,21.4,16.1,21.4,26.8,20.4,46.0,49.0,30.0,122.0,73.0,53.0,41.6666,5.66,82.6666,21.22,4.0,4.2,4.0,4.0,,,20.4,17.1,24.6,21.4,,,21.0,29.0,,29.0,52.0,,25.0,4.05,40.5,20.875
32,2009-07-13 00:00:00,4.0,4.0,4.7,4.7,10.4,14.6,26.8,17.1,20.4,22.5,24.6,19.3,57.0,76.0,42.0,130.0,120.0,120.0,58.3333,7.0666,123.3333,21.7833,4.0,4.0,8.5,4.2,,,20.4,22.5,19.3,16.0,,,17.0,13.0,,70.0,61.0,,15.0,5.175,65.5,19.55
33,2009-07-06 00:00:00,4.0,4.2,5.7,4.0,6.1,7.0,19.3,21.4,18.2,18.2,24.6,19.3,43.0,10.0,14.0,142.0,34.0,26.0,22.3333,5.1666,67.3333,20.1666,6.1,7.0,4.2,4.0,,,16.0,19.3,18.2,24.6,,,16.0,21.0,,33.0,32.0,,18.5,5.325,32.5,19.525
34,2009-06-29 00:00:00,,4.2,4.0,7.0,4.0,4.0,,26.8,36.4,20.4,24.6,17.1,40.0,42.0,27.0,125.0,65.0,50.0,36.3333,4.64,80.0,25.06,4.0,4.0,4.0,4.0,,,25.7,19.3,18.2,20.4,,,34.0,43.0,,56.0,47.0,,38.5,4.0,51.5,20.9
35,2009-06-22 00:00:00,4.0,4.0,12.5,8.3,10.8,7.5,20.6,18.2,16.1,17.1,19.3,13.9,19.0,76.0,23.0,57.0,187.0,38.0,39.3333,7.85,94.0,17.5333,4.0,,4.0,11.6,7.5,10.0,19.3,,21.4,12.9,15.0,16.0,10.0,14.0,10.0,49.0,77.0,19.0,11.3333,7.42,48.3333,16.92
36,2009-06-15 00:00:00,4.0,9.1,7.5,4.0,4.0,4.0,19.3,16.1,17.1,15.0,19.3,13.9,40.0,11.0,26.0,100.0,19.0,43.0,25.6666,5.4333,54.0,16.7833,4.0,7.5,10.8,4.0,4.0,4.0,18.2,15.0,16.0,16.0,17.0,14.0,19.0,27.0,54.0,33.0,41.0,70.0,33.3333,5.7166,48.0,16.0333
